match_id,date,home_team,away_team,winner
Jam34119quecaMa,30-05-1993,Jamaica,Martinique,Martinique
Col34146uayiaUr,26-06-1993,Colombia,Uruguay,Colombia
Bra34147inailAr,27-06-1993,Brazil,Argentina,Argentina
Col34151inaiaAr,01-07-1993,Colombia,Argentina,Argentina
Aus34196adaiaCa,15-08-1993,Australia,Canada,Australia
Bur34266neadiGu,24-10-1993,Burundi,Guinea,Guinea
Bur34363neasoGu,29-01-1994,Burkina Faso,Guinea,Burkina Faso
Nig34430astiaIv,06-04-1994,Nigeria,Ivory Coast,Nigeria
Mex34520riacoBu,05-07-1994,Mexico,Bulgaria,Bulgaria
Rom34525deniaSw,10-07-1994,Romania,Sweden,Sweden
